framework                        , test                                                         , time    
cosignal-react                   , fanout                                                       , 1.84    
cosignal-react                   , transition                                                   , 2.56    
cosignal-react                   , mount                                                        , 73.80   
alien-uses                       , fanout                                                       , 1.89    
alien-uses                       , transition                                                   , 1.86    
alien-uses                       , mount                                                        , 52.51   
dalien-uses                      , fanout                                                       , 1.82    
dalien-uses                      , transition                                                   , 1.85    
dalien-uses                      , mount                                                        , 51.86   
baseline-context                 , fanout                                                       , 13.15   
baseline-context                 , transition                                                   , 2.06    
baseline-context                 , mount                                                        , 68.67   
baseline-local                   , fanout                                                       , 1.97    
baseline-local                   , transition                                                   , 2.15    
baseline-local                   , mount                                                        , 54.85   
alt-a-uses                       , fanout                                                       , 1.93    
alt-a-uses                       , transition                                                   , 1.65    
alt-a-uses                       , mount                                                        , 56.13   
alt-b-uses                       , fanout                                                       , 1.71    
alt-b-uses                       , transition                                                   , 1.70    
alt-b-uses                       , mount                                                        , 55.24   
