framework                        , test                                                         , time    
Royale FM2                       , updateSignals                                                , 700.51  
Royale FM2                       , avoidablePropagation                                         , 310.94  
Royale FM2                       , broadPropagation                                             , 335.57  
Royale FM2                       , deepPropagation                                              , 143.07  
Royale FM2                       , diamond                                                      , 287.27  
Royale FM2                       , mux                                                          , 220.14  
Royale FM2                       , repeatedObservers                                            , 40.72   
Royale FM2                       , triangle                                                     , 91.07   
Royale FM2                       , unstable                                                     , 186.94  
Royale FM2                       , molBench                                                     , 33.25   
Royale FM2                       , cellx1000                                                    , 19.64   
Royale FM2                       , cellx2500                                                    , 93.66   
Royale FM2                       , 2-10x5 - lazy80%                                             , 576.02  
Royale FM2                       , 6-10x10 - dyn25% - lazy80%                                   , 314.45  
Royale FM2                       , 4-1000x12 - dyn5%                                            , 650.36  
Royale FM2                       , 25-1000x5                                                    , 757.85  
Royale FM2                       , 3-5x500                                                      , 275.15  
Royale FM2                       , 6-100x15 - dyn50%                                            , 402.53  
Royale FH1                       , createSignals                                                , 13.43   
Royale FH1                       , createComputations                                           , 934.43  
Royale FH1                       , updateSignals                                                , 1163.67 
Royale FH1                       , avoidablePropagation                                         , 318.45  
Royale FH1                       , broadPropagation                                             , 419.72  
Royale FH1                       , deepPropagation                                              , 175.31  
Royale FH1                       , diamond                                                      , 274.06  
Royale FH1                       , mux                                                          , 246.81  
Royale FH1                       , repeatedObservers                                            , 44.81   
Royale FH1                       , triangle                                                     , 88.27   
Royale FH1                       , unstable                                                     , 172.97  
Royale FH1                       , molBench                                                     , 33.19   
Royale FH1                       , cellx1000                                                    , 27.21   
Royale FH1                       , cellx2500                                                    , 72.45   
Royale FH1                       , 2-10x5 - lazy80%                                             , 571.21  
Royale FH1                       , 6-10x10 - dyn25% - lazy80%                                   , 261.89  
Royale FH1                       , 4-1000x12 - dyn5%                                            , 590.89  
Royale FH1                       , 25-1000x5                                                    , 587.69  
Royale FH1                       , 3-5x500                                                      , 283.31  
Royale FH1                       , 6-100x15 - dyn50%                                            , 331.76  
Royale FH2                       , createSignals                                                , 9.36    
Royale FH2                       , createComputations                                           , 181.66  
Royale FH2                       , updateSignals                                                , 436.36  
Royale FH2                       , avoidablePropagation                                         , 215.40  
Royale FH2                       , broadPropagation                                             , 234.84  
Royale FH2                       , deepPropagation                                              , 89.91   
Royale FH2                       , diamond                                                      , 192.93  
Royale FH2                       , mux                                                          , 180.15  
Royale FH2                       , repeatedObservers                                            , 28.18   
Royale FH2                       , triangle                                                     , 60.72   
Royale FH2                       , unstable                                                     , 40.75   
Royale FH2                       , molBench                                                     , 32.11   
Royale FH2                       , cellx1000                                                    , 20.09   
Royale FH2                       , cellx2500                                                    , 41.58   
Royale FH2                       , 2-10x5 - lazy80%                                             , 366.96  
Royale FH2                       , 6-10x10 - dyn25% - lazy80%                                   , 224.98  
Royale FH2                       , 4-1000x12 - dyn5%                                            , 532.06  
Royale FH2                       , 25-1000x5                                                    , 604.14  
Royale FH2                       , 3-5x500                                                      , 215.37  
Royale FH2                       , 6-100x15 - dyn50%                                            , 286.28  
Royale FX1                       , createSignals                                                , 13.99   
Royale FX1                       , createComputations                                           , 853.55  
Royale FX1                       , updateSignals                                                , 593.01  
Royale FX1                       , avoidablePropagation                                         , 274.11  
Royale FX1                       , broadPropagation                                             , 265.34  
Royale FX1                       , deepPropagation                                              , 113.82  
Royale FX1                       , diamond                                                      , 236.16  
Royale FX1                       , mux                                                          , 204.10  
Royale FX1                       , repeatedObservers                                            , 37.38   
Royale FX1                       , triangle                                                     , 66.12   
Royale FX1                       , unstable                                                     , 57.20   
Royale FX1                       , molBench                                                     , 32.69   
Royale FX1                       , cellx1000                                                    , 25.28   
Royale FX1                       , cellx2500                                                    , 65.17   
Royale FX1                       , 2-10x5 - lazy80%                                             , 420.12  
Royale FX1                       , 6-10x10 - dyn25% - lazy80%                                   , 239.31  
Royale FX1                       , 4-1000x12 - dyn5%                                            , 548.30  
Royale FX1                       , 25-1000x5                                                    , 559.46  
Royale FX1                       , 3-5x500                                                      , 244.33  
Royale FX1                       , 6-100x15 - dyn50%                                            , 291.23  
Royale FX2                       , createSignals                                                , 21.59   
Royale FX2                       , createComputations                                           , 188.39  
Royale FX2                       , updateSignals                                                , 630.75  
Royale FX2                       , avoidablePropagation                                         , 340.38  
Royale FX2                       , broadPropagation                                             , 220.86  
Royale FX2                       , deepPropagation                                              , 88.14   
Royale FX2                       , diamond                                                      , 273.28  
Royale FX2                       , mux                                                          , 183.99  
Royale FX2                       , repeatedObservers                                            , 41.17   
Royale FX2                       , triangle                                                     , 72.29   
Royale FX2                       , unstable                                                     , 114.67  
Royale FX2                       , molBench                                                     , 32.57   
Royale FX2                       , cellx1000                                                    , 24.57   
Royale FX2                       , cellx2500                                                    , 29.54   
Royale FX2                       , 2-10x5 - lazy80%                                             , 520.44  
Royale FX2                       , 6-10x10 - dyn25% - lazy80%                                   , 227.67  
Royale FX2                       , 4-1000x12 - dyn5%                                            , 572.70  
Royale FX2                       , 25-1000x5                                                    , 738.20  
Royale FX2                       , 3-5x500                                                      , 194.25  
Royale FX2                       , 6-100x15 - dyn50%                                            , 268.89  
Royale SH1                       , createSignals                                                , 4.50    
Royale SH1                       , createComputations                                           , 1057.59 
Royale SH1                       , updateSignals                                                , 2001.99 
Royale SH1                       , avoidablePropagation                                         , 456.66  
Royale SH1                       , broadPropagation                                             , 694.83  
Royale SH1                       , deepPropagation                                              , 213.09  
Royale SH1                       , diamond                                                      , 506.24  
Royale SH1                       , mux                                                          , 397.01  
Royale SH1                       , repeatedObservers                                            , 54.86   
Royale SH1                       , triangle                                                     , 168.99  
Royale SH1                       , unstable                                                     , 72.72   
Royale SH1                       , molBench                                                     , 33.71   
Royale SH1                       , cellx1000                                                    , 80.43   
Royale SH1                       , cellx2500                                                    , 250.99  
Royale SH1                       , 2-10x5 - lazy80%                                             , 1196.81 
Royale SH1                       , 6-10x10 - dyn25% - lazy80%                                   , 716.30  
Royale SH1                       , 4-1000x12 - dyn5%                                            , 1694.91 
Royale SH1                       , 25-1000x5                                                    , 3100.31 
Royale SH1                       , 3-5x500                                                      , 572.10  
Royale SH1                       , 6-100x15 - dyn50%                                            , 978.25  
Royale SH2                       , createSignals                                                , 6.06    
Royale SH2                       , createComputations                                           , 383.67  
Royale SH2                       , updateSignals                                                , 1659.57 
Royale SH2                       , avoidablePropagation                                         , 430.08  
Royale SH2                       , broadPropagation                                             , 417.37  
Royale SH2                       , deepPropagation                                              , 146.49  
Royale SH2                       , diamond                                                      , 363.79  
Royale SH2                       , mux                                                          , 238.13  
Royale SH2                       , repeatedObservers                                            , 64.19   
